小区,室厅,面积,朝向,装修情况,总价,单价,建造年份
嘉铭桐城A区,3室2厅,14271.0,南 北,简装,11350000.0,79532.0,2001.0
龙腾苑二区,3室2厅,12665.0,南 北,简装,6070000.0,47928.0,2003.0
金汉绿港二区,4室1厅,1568.0,北 南,简装,5500000.0,35077.0,2007.0
宝星国际二期,3室2厅,15319.0,西南,精装,11500000.0,75071.0,
丽都壹号,4室2厅,18469.0,南 北,精装,13300000.0,72013.0,
东方太阳城,3室2厅,14835.0,南 北,精装,3960000.0,26694.0,
奥林匹克花园三期,4室2厅,13567.0,南 北,精装,9700000.0,71498.0,
住总万科橙,2室2厅,7875.0,南 北,精装,3650000.0,46350.0,
万达广场公寓,3室1厅,12572.0,东 南,精装,8800000.0,69997.0,2005.0
中海紫御公馆,2室2厅,9008.0,南,精装,10500000.0,116564.0,
首开住总熙悦安郡,3室2厅,10771.0,东 南 北,精装,8780000.0,81516.0,2019.0
天通苑五区,3室1厅,15982.0,南 北,精装,5430000.0,33976.0,
芳城园一区,3室1厅,17646.0,东北,简装,6590000.0,37346.0,1997.0
韩村河西小区,3室2厅,11778.0,南 北,简装,1180000.0,10019.0,2002.0
大城小镇,3室2厅,13954.0,东南,精装,5800000.0,41566.0,2007.0
密西花园一期,3室2厅,11441.0,南 北,精装,1990000.0,17394.0,
华威北里,2室1厅,6333.0,西南,毛坯,3450000.0,54477.0,1995.0
莲香园,3室2厅,14795.0,南 东南,简装,9800000.0,66239.0,
远洋自然,2室2厅,11907.0,西南 北,毛坯,7490000.0,62905.0,2006.0
柳芳南里,3室1厅,8877.0,南 北,精装,7550000.0,85052.0,1990.0
力鸿花园,3室1厅,15631.0,南 西南,精装,12800000.0,81889.0,1997.0
万科城市花园,3室2厅,16222.0,南 北,简装,5500000.0,33905.0,1997.0
胜古家园,3室1厅,1223.0,南 北,简装,10850000.0,88717.0,
世纪星城三期,2室2厅,10225.0,南 北,简装,4290000.0,41956.0,
景宜里,3室1厅,12527.0,南 北,简装,9900000.0,79030.0,2012.0
金沟河5号院,4室2厅,1157.0,北 南,精装,9680000.0,83665.0,
望都新地,2室1厅,8969.0,南 北,精装,3400000.0,37909.0,2009.0
强佑清河新城府学上院,3室2厅,14105.0,东南,精装,10500000.0,74442.0,
次渠南里八区,2室2厅,10894.0,南 北,简装,3650000.0,33505.0,
天通苑东一区,4室2厅,17757.0,南 北,简装,4490000.0,25286.0,
万科紫苑,3室2厅,15611.0,南 北,精装,11600000.0,74307.0,2009.0
世方豪庭,2室2厅,12791.0,南 东南,精装,9700000.0,75835.0,
富力又一城A区,3室2厅,17217.0,南 北,精装,7280000.0,42284.0,
和义西里二区,3室1厅,7657.0,南 北,其他,3650000.0,47669.0,
卡布其诺,3室1厅,10234.0,南 北,精装,7600000.0,74263.0,2005.0
西山枫林一二期,3室1厅,12258.0,南 北,精装,7090000.0,57840.0,2005.0
建安里小区,3室2厅,13325.0,南 北,精装,4580000.0,34372.0,1996.0
乐府江南,2室1厅,1058.0,南 北,精装,10800000.0,102080.0,2005.0
建工动力苑,2室1厅,6687.0,南,精装,4180000.0,62510.0,2016.0
后永康胡同2号院4号院,3室1厅,7203.0,南 北,精装,6800000.0,94406.0,
万年广阳郡九号,4室2厅,16689.0,南 北,精装,6750000.0,40446.0,2018.0
玺萌公馆,3室2厅,12447.0,南 北,精装,8900000.0,71504.0,2008.0
金台里,2室1厅,5831.0,东 西,简装,3450000.0,59167.0,1994.0
横一条,2室1厅,4782.0,南,简装,3050000.0,63781.0,
双柳巷,3室1厅,5389.0,南 北,简装,2580000.0,47876.0,
樱花园,2室1厅,613.0,南 北,精装,4950000.0,80751.0,
冰窖口胡同73号院,2室1厅,613.0,南 北,简装,8090000.0,131974.0,1983.0
金隅丽景园,1室1厅,5608.0,南,简装,2520000.0,44936.0,2010.0
安贞里,3室1厅,6888.0,南 北,精装,5590000.0,81156.0,1984.0
河畔丽景,1室1厅,7442.0,东南,简装,2800000.0,37625.0,
沿海赛洛城二期,2室1厅,935.0,西北,精装,5500000.0,58824.0,2007.0
瑞和国际,2室1厅,9548.0,西北,精装,4590000.0,48073.0,
北苑家园莲葩园,2室1厅,9984.0,西南,简装,5450000.0,54588.0,2004.0
首座御园一期,2室1厅,9227.0,南 北,简装,3800000.0,41184.0,2013.0
伟业嘉园西里,2室1厅,9734.0,南 北,简装,2400000.0,24656.0,2010.0
万寿路小区,3室1厅,566.0,东 南 北,简装,5280000.0,93287.0,
双榆树东里,2室1厅,495.0,南,精装,5250000.0,106061.0,1981.0
丽景长安二期,2室1厅,87.0,南,精装,3180000.0,36552.0,
UHN国际村,2室1厅,8937.0,南,精装,8900000.0,99586.0,2006.0
玉海园二里,1室1厅,81.0,东南,简装,5100000.0,62963.0,2001.0
