排名,名称,用户,得分,使用量,点赞量,收藏量,购买量,评论量
1,套环螺旋解压玩具,CA_九鼎,937,132,4,17,7,2
2,胡萝卜重力玩具刀 V2.1,会飞的相机,666,97,3,9,1,4
3,蛋🥚,波☜,542,78,2,14,5,2
4,碧云龙修复版,1578,526,78,2,19,2,6
5,皮卡丘,平头哥,514,82,7,11,3,8
6,伸缩剑,用户19238820471112,467,71,2,8,8,8
7,小猫咪,深山闲士,460,69,1,6,2,2
8,鸡你太美鸡哥,用户9048435702,411,66,3,7,2,4
9,指甲钳皮筋枪,我爱白嫖,402,53,6,24,5,1
10,龙,爷俩时光,368,62,0,2,5,4
11,宝可梦 卡拉卡拉,VAN,367,57,1,12,1,0
12,一体打印，伸缩剑，死神黑崎一护的剑,祖尔,360,56,1,6,9,3
13,赛博朋克风手机支架,肝帝玩家？,355,48,1,16,1,2
14,龙,小潘潘,354,56,3,6,0,4
15,ATM-奥特曼-光巨人,酷酷的鸟,352,53,1,7,1,4
16,海盗船发射器,我爱白嫖,346,39,5,28,7,1
17,恐龙蛋收纳盒（已打印拼装无问题，放心下载）,创元素,339,50,1,12,2,8
18,塞尔达伸缩剑,喵喵喵,305,43,3,4,5,5
19,Chinese Lion seal(康熙御覽),小白的3DP乐园,289,43,1,8,7,8
20,白熊,i3D熊i,263,37,2,11,1,0
